Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Age,Class
no checking,critical/other existing credit,used car,5804,>=1000,1<=X<4,27,good
no checking,delayed previously,business,2169,<100,1<=X<4,28,bad
<0,existing paid,radio/tv,2439,<100,<1,35,bad
no checking,critical/other existing credit,furniture/equipment,4526,>=1000,<1,32,good
no checking,existing paid,furniture/equipment,2210,<100,1<=X<4,25,bad
no checking,existing paid,furniture/equipment,2221,500<=X<1000,1<=X<4,20,good
<0,existing paid,radio/tv,2389,<100,<1,27,good
no checking,critical/other existing credit,furniture/equipment,3331,<100,>=7,42,good
no checking,existing paid,business,7409,unknown,>=7,37,good
<0,existing paid,furniture/equipment,652,<100,>=7,24,good
no checking,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,40,good
>=200,critical/other existing credit,new car,1343,<100,>=7,46,good
<0,critical/other existing credit,business,1382,100<=X<500,4<=X<7,26,good
no checking,existing paid,furniture/equipment,874,unknown,<1,24,good
<0,existing paid,furniture/equipment,3590,<100,1<=X<4,29,good
0<=X<200,critical/other existing credit,new car,1322,>=1000,1<=X<4,40,good
<0,no credits/all paid,radio/tv,1940,<100,<1,36,good
no checking,existing paid,radio/tv,3595,<100,>=7,28,good
<0,existing paid,new car,1422,<100,<1,27,bad
no checking,critical/other existing credit,radio/tv,6742,unknown,4<=X<7,36,good
no checking,existing paid,used car,7814,<100,4<=X<7,38,good
no checking,existing paid,used car,9277,unknown,1<=X<4,48,good
0<=X<200,critical/other existing credit,new car,2181,unknown,>=7,36,good
no checking,critical/other existing credit,radio/tv,1098,<100,unemployed,65,good
0<=X<200,existing paid,furniture/equipment,4057,<100,4<=X<7,43,bad
<0,existing paid,education,795,<100,<1,53,bad
0<=X<200,critical/other existing credit,business,2825,unknown,4<=X<7,34,good
0<=X<200,existing paid,business,15672,<100,1<=X<4,23,bad
no checking,critical/other existing credit,new car,6614,<100,>=7,34,good
no checking,no credits/all paid,used car,7824,unknown,<1,40,good
<0,critical/other existing credit,business,2442,<100,>=7,43,good
no checking,critical/other existing credit,radio/tv,1829,<100,>=7,46,good
<0,critical/other existing credit,new car,2171,<100,1<=X<4,38,good
0<=X<200,critical/other existing credit,used car,5800,<100,1<=X<4,34,good
no checking,critical/other existing credit,radio/tv,1169,unknown,1<=X<4,29,good
no checking,delayed previously,used car,8947,unknown,4<=X<7,31,good
<0,existing paid,radio/tv,2606,<100,<1,28,good
no checking,critical/other existing credit,furniture/equipment,1592,>=1000,4<=X<7,35,good
no checking,existing paid,furniture/equipment,2186,unknown,4<=X<7,33,good
<0,existing paid,furniture/equipment,4153,<100,1<=X<4,42,bad
<0,critical/other existing credit,new car,2625,<100,>=7,43,bad
no checking,critical/other existing credit,new car,3485,unknown,<1,44,good
no checking,critical/other existing credit,used car,10477,unknown,>=7,42,good
no checking,existing paid,radio/tv,1386,unknown,1<=X<4,40,good
no checking,existing paid,radio/tv,1278,<100,>=7,36,good
<0,existing paid,radio/tv,1107,<100,1<=X<4,20,good
<0,existing paid,new car,3763,unknown,4<=X<7,24,good
0<=X<200,existing paid,education,3711,unknown,1<=X<4,27,good
no checking,delayed previously,used car,3594,<100,<1,46,good
0<=X<200,existing paid,new car,3195,unknown,1<=X<4,33,good
no checking,delayed previously,radio/tv,4454,<100,1<=X<4,34,good
0<=X<200,critical/other existing credit,furniture/equipment,4736,<100,<1,25,bad
0<=X<200,existing paid,radio/tv,2991,unknown,>=7,25,good
no checking,existing paid,business,2142,>=1000,>=7,28,good
<0,no credits/all paid,business,3161,<100,1<=X<4,31,bad
0<=X<200,no credits/all paid,other,18424,<100,1<=X<4,32,bad
no checking,existing paid,used car,2848,100<=X<500,1<=X<4,32,good
<0,existing paid,new car,14896,<100,>=7,68,bad
<0,existing paid,furniture/equipment,2359,100<=X<500,unemployed,33,bad
<0,existing paid,furniture/equipment,3345,<100,>=7,39,bad
no checking,critical/other existing credit,furniture/equipment,1817,<100,1<=X<4,28,good
no checking,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,37,good
<0,existing paid,radio/tv,1366,<100,<1,22,bad
0<=X<200,existing paid,new car,2002,<100,4<=X<7,30,good
<0,no credits/all paid,furniture/equipment,6872,<100,<1,55,bad
<0,no credits/all paid,new car,697,<100,<1,46,bad
<0,critical/other existing credit,furniture/equipment,1049,<100,<1,21,good
<0,existing paid,used car,10297,<100,4<=X<7,39,bad
no checking,existing paid,radio/tv,1867,unknown,>=7,58,good
<0,delayed previously,new car,1344,<100,1<=X<4,43,good
<0,existing paid,furniture/equipment,1747,<100,<1,24,good
0<=X<200,existing paid,radio/tv,1670,<100,<1,22,bad
no checking,critical/other existing credit,new car,1224,<100,1<=X<4,30,good
no checking,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,42,good
<0,existing paid,radio/tv,1498,<100,1<=X<4,23,good
0<=X<200,delayed previously,radio/tv,1919,100<=X<500,<1,30,bad
>=200,existing paid,radio/tv,745,<100,1<=X<4,28,bad
0<=X<200,existing paid,radio/tv,2063,<100,<1,30,good
0<=X<200,existing paid,education,6288,<100,1<=X<4,42,bad
no checking,critical/other existing credit,used car,6842,unknown,1<=X<4,46,good
no checking,existing paid,new car,3527,unknown,<1,45,good
no checking,existing paid,new car,1546,<100,1<=X<4,31,good
no checking,existing paid,furniture/equipment,929,unknown,4<=X<7,31,good
no checking,critical/other existing credit,new car,1455,<100,4<=X<7,42,good
<0,existing paid,furniture/equipment,1845,<100,<1,46,good
0<=X<200,no credits/all paid,new car,8358,500<=X<1000,<1,30,good
<0,no credits/all paid,furniture/equipment,3349,500<=X<1000,<1,30,bad
no checking,existing paid,new car,2859,unknown,unemployed,38,good
no checking,existing paid,furniture/equipment,1533,<100,<1,43,bad
no checking,existing paid,radio/tv,3621,100<=X<500,>=7,31,bad
0<=X<200,critical/other existing credit,business,3590,<100,unemployed,40,good
<0,delayed previously,business,2145,<100,4<=X<7,24,bad
0<=X<200,existing paid,used car,4113,500<=X<1000,<1,28,bad
no checking,existing paid,furniture/equipment,10974,<100,unemployed,26,bad
<0,existing paid,new car,1893,<100,1<=X<4,29,good
<0,critical/other existing credit,radio/tv,1231,>=1000,>=7,57,good
>=200,critical/other existing credit,radio/tv,3656,unknown,>=7,49,good
0<=X<200,critical/other existing credit,radio/tv,1154,<100,>=7,37,good
<0,existing paid,new car,4006,<100,1<=X<4,45,bad
0<=X<200,existing paid,furniture/equipment,3069,100<=X<500,>=7,30,good
no checking,critical/other existing credit,radio/tv,1740,<100,>=7,30,good
0<=X<200,delayed previously,new car,2353,<100,1<=X<4,47,good
no checking,existing paid,new car,3556,unknown,1<=X<4,29,good
no checking,existing paid,radio/tv,2397,500<=X<1000,>=7,35,bad
0<=X<200,existing paid,repairs,454,<100,<1,22,good
0<=X<200,existing paid,radio/tv,1715,unknown,1<=X<4,26,good
0<=X<200,critical/other existing credit,radio/tv,2520,500<=X<1000,1<=X<4,23,bad
no checking,existing paid,radio/tv,3568,<100,>=7,54,good
no checking,existing paid,radio/tv,7166,unknown,4<=X<7,29,good
<0,critical/other existing credit,new car,3939,<100,1<=X<4,40,good
0<=X<200,existing paid,repairs,1514,100<=X<500,1<=X<4,22,good
no checking,existing paid,new car,7393,<100,1<=X<4,43,good
<0,no credits/all paid,new car,1193,<100,unemployed,29,bad
<0,existing paid,business,7297,<100,>=7,36,bad
no checking,critical/other existing credit,radio/tv,2831,<100,1<=X<4,33,good
>=200,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,57,good
0<=X<200,existing paid,radio/tv,753,<100,1<=X<4,64,good
0<=X<200,delayed previously,business,2427,unknown,>=7,42,good
no checking,delayed previously,new car,2538,<100,>=7,47,bad
0<=X<200,no credits/all paid,new car,1264,100<=X<500,1<=X<4,25,bad
0<=X<200,critical/other existing credit,furniture/equipment,8386,<100,4<=X<7,49,bad
no checking,existing paid,business,4844,<100,unemployed,33,bad
>=200,existing paid,new car,2923,100<=X<500,1<=X<4,28,good
<0,existing paid,used car,8229,<100,1<=X<4,26,bad
no checking,critical/other existing credit,furniture/equipment,2028,<100,4<=X<7,30,good
<0,critical/other existing credit,furniture/equipment,1433,<100,1<=X<4,25,good
>=200,no credits/all paid,business,6289,<100,<1,33,good
no checking,existing paid,radio/tv,1409,100<=X<500,unemployed,64,good
<0,existing paid,used car,6579,<100,unemployed,29,good
0<=X<200,critical/other existing credit,radio/tv,1743,<100,>=7,48,good
no checking,critical/other existing credit,education,3565,unknown,<1,37,good
no checking,no credits/all paid,radio/tv,1569,100<=X<500,>=7,34,good
<0,existing paid,radio/tv,1936,unknown,4<=X<7,23,good
<0,existing paid,furniture/equipment,3959,<100,unemployed,30,good
no checking,existing paid,new car,2390,unknown,>=7,50,good
no checking,existing paid,furniture/equipment,1736,<100,4<=X<7,31,good
<0,existing paid,used car,3857,<100,1<=X<4,40,good
no checking,existing paid,radio/tv,804,<100,>=7,38,good
<0,existing paid,radio/tv,1845,<100,1<=X<4,23,bad
0<=X<200,critical/other existing credit,used car,4576,100<=X<500,unemployed,27,good
