Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
no checking,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,male single,skilled,1455.12,good
no checking,existing paid,education,unknown,>=7,male single,unskilled resident,2452.48,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1024.8,good
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,skilled,683.32,bad
0<=X<200,existing paid,radio/tv,unknown,<1,male single,skilled,332.12,good
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,376.2,bad
0<=X<200,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,338.75,bad
no checking,existing paid,education,<100,>=7,male single,skilled,654.71,good
no checking,existing paid,radio/tv,500<=X<1000,4<=X<7,female div/sep/mar,skilled,385.28,good
no checking,delayed previously,radio/tv,<100,4<=X<7,male single,skilled,3287.13,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,507.62,good
<0,delayed previously,radio/tv,<100,4<=X<7,male single,skilled,1136.2,bad
<0,existing paid,education,<100,unemployed,female div/sep/mar,unemp/unskilled non res,202.5,bad
0<=X<200,existing paid,repairs,<100,>=7,male single,unskilled resident,497.04,good
no checking,existing paid,education,100<=X<500,1<=X<4,male single,high qualif/self emp/mgmt,1849.2,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male mar/wid/div/sep,skilled,610.83,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,male mar/wid/div/sep,high qualif/self emp/mgmt,601.6,good
no checking,delayed previously,business,unknown,<1,male single,skilled,2154.6,bad
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,skilled,1466.56,good
no checking,existing paid,new car,500<=X<1000,1<=X<4,female div/sep/mar,skilled,3603.6,bad
>=200,existing paid,new car,<100,4<=X<7,male single,skilled,359.86,bad
<0,existing paid,education,<100,1<=X<4,male single,unskilled resident,273.6,bad
<0,existing paid,education,<100,4<=X<7,male single,high qualif/self emp/mgmt,3738,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,711.14,bad
<0,existing paid,new car,<100,>=7,male single,skilled,1036.35,bad
0<=X<200,delayed previously,new car,100<=X<500,>=7,male single,high qualif/self emp/mgmt,3396.12,bad
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,skilled,821.1,good
<0,existing paid,new car,<100,unemployed,male single,skilled,874.06,good
0<=X<200,existing paid,new car,<100,>=7,male single,unskilled resident,364.08,bad
no checking,existing paid,radio/tv,unknown,4<=X<7,male single,skilled,3782.14,good
0<=X<200,no credits/all paid,business,<100,1<=X<4,female div/sep/mar,skilled,1181.88,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,2608.01,good
>=200,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,298.31,good
<0,existing paid,new car,unknown,1<=X<4,male mar/wid/div/sep,skilled,207,bad
no checking,existing paid,furniture/equipment,<100,>=7,male single,skilled,1120.5,good
0<=X<200,delayed previously,furniture/equipment,<100,unemployed,male single,high qualif/self emp/mgmt,367.5,good
>=200,critical/other existing credit,education,<100,1<=X<4,female div/sep/mar,unskilled resident,523.5,good
no checking,critical/other existing credit,other,<100,unemployed,male single,high qualif/self emp/mgmt,1704.78,good
0<=X<200,no credits/all paid,furniture/equipment,>=1000,1<=X<4,male single,skilled,1188.64,good
no checking,no credits/all paid,business,<100,1<=X<4,female div/sep/mar,skilled,974.43,good
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,2082.49,bad
>=200,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,1417.99,good
no checking,critical/other existing credit,business,100<=X<500,1<=X<4,male single,unskilled resident,1117.53,good
no checking,existing paid,business,100<=X<500,4<=X<7,male single,skilled,1780.02,good
no checking,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,4353.72,good
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male mar/wid/div/sep,skilled,499.2,good
no checking,delayed previously,business,500<=X<1000,<1,male single,unskilled resident,1057.8,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,high qualif/self emp/mgmt,1177.8,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,1699.5,good
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male mar/wid/div/sep,skilled,1342.8,bad
<0,existing paid,radio/tv,<100,>=7,male single,unskilled resident,1525.76,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,377.78,good
no checking,existing paid,education,<100,<1,female div/sep/mar,skilled,861.28,good
no checking,existing paid,radio/tv,unknown,1<=X<4,male single,skilled,843.23,good
no checking,delayed previously,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,487.74,good
no checking,critical/other existing credit,radio/tv,<100,<1,male mar/wid/div/sep,skilled,2398.41,good
0<=X<200,delayed previously,business,100<=X<500,4<=X<7,male single,unskilled resident,3055.67,good
no checking,existing paid,new car,unknown,1<=X<4,male single,skilled,2219.18,good
>=200,critical/other existing credit,radio/tv,unknown,4<=X<7,male single,skilled,363.69,good
0<=X<200,delayed previously,new car,100<=X<500,>=7,male single,skilled,858.6,good
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,skilled,963.55,good
<0,existing paid,new car,>=1000,1<=X<4,male single,skilled,1131.81,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,skilled,243.75,good
0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,657.75,good
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male single,skilled,839.84,good
<0,critical/other existing credit,new car,unknown,<1,male single,unskilled resident,2075.04,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,skilled,639.52,good
no checking,existing paid,used car,500<=X<1000,1<=X<4,male single,skilled,618,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,skilled,319.87,good
no checking,critical/other existing credit,new car,<100,unemployed,female div/sep/mar,unemp/unskilled non res,351.88,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,skilled,432,good
>=200,existing paid,education,<100,>=7,male single,high qualif/self emp/mgmt,762,good
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,unskilled resident,325.67,bad
<0,critical/other existing credit,used car,<100,>=7,male single,skilled,2912.26,bad
>=200,existing paid,radio/tv,100<=X<500,>=7,female div/sep/mar,skilled,647.19,good
0<=X<200,delayed previously,business,100<=X<500,>=7,male single,skilled,1026.23,good
0<=X<200,existing paid,business,<100,<1,female div/sep/mar,skilled,808.96,good
no checking,existing paid,new car,500<=X<1000,>=7,female div/sep/mar,skilled,1863.4,good
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,skilled,1574.4,bad
0<=X<200,no credits/all paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,742.25,bad
0<=X<200,existing paid,radio/tv,<100,>=7,female div/sep/mar,skilled,301.5,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,unskilled resident,783.66,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,high qualif/self emp/mgmt,201.28,good
<0,no credits/all paid,education,<100,>=7,female div/sep/mar,skilled,419.3,bad
no checking,existing paid,used car,unknown,>=7,male single,high qualif/self emp/mgmt,1138.96,good
<0,critical/other existing credit,radio/tv,<100,1<=X<4,male single,unskilled resident,284.5,good
0<=X<200,existing paid,new car,<100,4<=X<7,male single,high qualif/self emp/mgmt,3787.29,bad
no checking,critical/other existing credit,used car,unknown,>=7,male single,skilled,4785.48,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,1230.8,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,high qualif/self emp/mgmt,481.6,good
>=200,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,skilled,975.88,good
0<=X<200,no credits/all paid,used car,100<=X<500,>=7,male mar/wid/div/sep,skilled,1905.88,good
>=200,no credits/all paid,radio/tv,<100,<1,male single,high qualif/self emp/mgmt,454.58,bad
0<=X<200,no credits/all paid,education,>=1000,<1,female div/sep/mar,skilled,103.92,bad
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,unskilled resident,294.72,bad
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,female div/sep/mar,unskilled resident,521.4,good
no checking,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,539.7,bad
no checking,critical/other existing credit,new car,>=1000,1<=X<4,female div/sep/mar,unskilled resident,102.5,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male mar/wid/div/sep,unskilled resident,618.52,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,470.5,bad
0<=X<200,no credits/all paid,business,<100,>=7,female div/sep/mar,skilled,3785.44,bad
>=200,critical/other existing credit,business,>=1000,1<=X<4,male mar/wid/div/sep,skilled,459,good
0<=X<200,delayed previously,radio/tv,<100,<1,male single,skilled,2112.99,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,unskilled resident,417.27,bad
0<=X<200,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,unskilled resident,334.4,good
no checking,existing paid,used car,>=1000,1<=X<4,female div/sep/mar,skilled,728.84,good
no checking,critical/other existing credit,new car,<100,4<=X<7,female div/sep/mar,skilled,1250.6,good
0<=X<200,no credits/all paid,furniture/equipment,unknown,<1,female div/sep/mar,unemp/unskilled non res,1157.1,good
0<=X<200,existing paid,used car,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,2658.8,bad
<0,existing paid,new car,100<=X<500,1<=X<4,male single,unskilled resident,1533,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,high qualif/self emp/mgmt,3042.45,good
0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,1112.8,bad
<0,no credits/all paid,new car,100<=X<500,4<=X<7,male single,skilled,744,good
0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,male single,unskilled resident,241.04,good
no checking,existing paid,radio/tv,unknown,>=7,male single,skilled,1295.6,good
<0,no credits/all paid,furniture/equipment,500<=X<1000,1<=X<4,male single,skilled,546.26,good
<0,critical/other existing credit,furniture/equipment,unknown,4<=X<7,male single,high qualif/self emp/mgmt,4253.7,good
<0,critical/other existing credit,business,<100,<1,male single,unskilled resident,503.16,good
<0,existing paid,new car,<100,unemployed,female div/sep/mar,skilled,577.53,good
<0,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,471.38,bad
no checking,existing paid,used car,unknown,1<=X<4,male single,skilled,1364.48,good
no checking,existing paid,used car,<100,4<=X<7,male single,skilled,999.57,good
<0,existing paid,furniture/equipment,<100,>=7,female div/sep/mar,skilled,209.72,good
<0,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,224.48,bad
0<=X<200,existing paid,business,100<=X<500,4<=X<7,female div/sep/mar,unskilled resident,193.43,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,skilled,1442.75,good
no checking,delayed previously,repairs,>=1000,>=7,male single,skilled,855.25,bad
<0,existing paid,new car,unknown,4<=X<7,female div/sep/mar,skilled,411.2,bad
>=200,critical/other existing credit,new car,<100,1<=X<4,male single,unemp/unskilled non res,961.26,good
>=200,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,skilled,495.69,bad
no checking,existing paid,new car,<100,1<=X<4,male single,skilled,431.83,good
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,241.85,bad
no checking,critical/other existing credit,new car,unknown,>=7,female div/sep/mar,skilled,2976.55,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,509.76,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,unskilled resident,531.36,good
no checking,critical/other existing credit,new car,unknown,>=7,male single,high qualif/self emp/mgmt,3804,bad
no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,male mar/wid/div/sep,skilled,665.01,good
0<=X<200,existing paid,radio/tv,<100,>=7,male mar/wid/div/sep,unskilled resident,462,good
<0,existing paid,furniture/equipment,<100,<1,male mar/wid/div/sep,unskilled resident,963.48,bad
no checking,existing paid,used car,unknown,<1,female div/sep/mar,skilled,899.31,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,1012.76,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,unskilled resident,1042.65,good
<0,existing paid,used car,unknown,>=7,female div/sep/mar,skilled,731.12,good
<0,critical/other existing credit,education,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,2016.25,bad
no checking,critical/other existing credit,used car,<100,>=7,male single,high qualif/self emp/mgmt,1179,good
no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,skilled,1155.96,good
>=200,critical/other existing credit,new car,500<=X<1000,unemployed,male single,unemp/unskilled non res,976.8,good
<0,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,342.75,bad
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,skilled,1307.95,good
<0,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,skilled,877.25,good
no checking,critical/other existing credit,used car,>=1000,>=7,male single,high qualif/self emp/mgmt,2170.18,good
0<=X<200,existing paid,repairs,<100,unemployed,female div/sep/mar,skilled,2594.24,good
0<=X<200,critical/other existing credit,radio/tv,<100,4<=X<7,male single,skilled,1233.25,bad
no checking,critical/other existing credit,new car,>=1000,>=7,male single,skilled,1164,good
0<=X<200,no credits/all paid,retraining,<100,1<=X<4,male single,unskilled resident,437.1,good
0<=X<200,existing paid,new car,100<=X<500,<1,female div/sep/mar,unskilled resident,192.28,bad
0<=X<200,existing paid,used car,unknown,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,3880.8,good
0<=X<200,existing paid,business,>=1000,1<=X<4,male single,unskilled resident,679.35,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,1070,good
no checking,critical/other existing credit,used car,unknown,>=7,male single,skilled,1045.38,good
0<=X<200,delayed previously,education,<100,>=7,male single,skilled,3112,bad
<0,critical/other existing credit,education,<100,1<=X<4,male single,skilled,1619.46,bad
0<=X<200,existing paid,business,<100,>=7,female div/sep/mar,skilled,463.32,bad
no checking,existing paid,used car,unknown,>=7,male single,high qualif/self emp/mgmt,2588.33,good
no checking,critical/other existing credit,furniture/equipment,unknown,1<=X<4,male mar/wid/div/sep,skilled,329.67,good
>=200,existing paid,furniture/equipment,<100,>=7,male mar/wid/div/sep,skilled,1474.92,good
no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,skilled,979.84,good
no checking,existing paid,furniture/equipment,100<=X<500,<1,female div/sep/mar,skilled,506.22,good
<0,existing paid,used car,unknown,>=7,male single,skilled,3830.61,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,276.76,good
no checking,delayed previously,new car,unknown,>=7,male mar/wid/div/sep,skilled,387.18,good
0<=X<200,existing paid,new car,unknown,<1,male single,unemp/unskilled non res,542.15,good
no checking,critical/other existing credit,education,<100,>=7,male single,skilled,862.38,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,unskilled resident,861.6,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,skilled,1025.28,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,341.6,good
0<=X<200,existing paid,new car,unknown,unemployed,female div/sep/mar,unemp/unskilled non res,1793.28,good
<0,existing paid,new car,<100,4<=X<7,male single,skilled,2225.04,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,unskilled resident,153.4,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,604.5,good
0<=X<200,no credits/all paid,used car,<100,unemployed,male single,high qualif/self emp/mgmt,5105.65,good
0<=X<200,no credits/all paid,new car,<100,<1,female div/sep/mar,unemp/unskilled non res,462.28,bad
0<=X<200,existing paid,business,<100,<1,male mar/wid/div/sep,skilled,235.82,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male mar/wid/div/sep,unskilled resident,135.52,good
<0,critical/other existing credit,used car,<100,4<=X<7,male single,skilled,2310.96,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1647.54,bad
<0,existing paid,new car,<100,4<=X<7,male single,skilled,1808.26,bad
0<=X<200,delayed previously,new car,<100,1<=X<4,female div/sep/mar,skilled,4013.28,good
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male mar/wid/div/sep,skilled,829.56,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,skilled,372.96,good
<0,existing paid,other,<100,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,6818.51,good
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,349.7,bad
no checking,existing paid,new car,<100,1<=X<4,male mar/wid/div/sep,skilled,297.27,good
>=200,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,723.84,good
<0,existing paid,furniture/equipment,<100,>=7,male single,skilled,1111.92,bad
<0,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,343.57,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,male mar/wid/div/sep,high qualif/self emp/mgmt,1323,good
<0,critical/other existing credit,new car,<100,>=7,male mar/wid/div/sep,skilled,480.6,good
<0,critical/other existing credit,new car,<100,>=7,female div/sep/mar,skilled,1308.78,bad
no checking,no credits/all paid,business,<100,1<=X<4,male single,skilled,1499.4,bad
<0,existing paid,used car,unknown,>=7,male single,skilled,3917.45,bad
0<=X<200,delayed previously,business,unknown,1<=X<4,male single,skilled,2538.78,good
no checking,delayed previously,business,500<=X<1000,1<=X<4,male single,skilled,1045,good
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,279.68,bad
<0,no credits/all paid,business,<100,>=7,male single,skilled,3426.64,bad
0<=X<200,existing paid,radio/tv,unknown,>=7,female div/sep/mar,skilled,2135.28,good
>=200,existing paid,radio/tv,<100,<1,female div/sep/mar,unskilled resident,581.75,bad
<0,no credits/all paid,new car,<100,1<=X<4,male single,skilled,519.36,bad
no checking,existing paid,radio/tv,unknown,1<=X<4,female div/sep/mar,skilled,186.06,good
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,138.23,good
<0,critical/other existing credit,used car,<100,>=7,male single,skilled,1862.91,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male mar/wid/div/sep,skilled,1201.06,good
<0,existing paid,furniture/equipment,<100,4<=X<7,male single,skilled,1501.91,bad
no checking,delayed previously,used car,<100,1<=X<4,male single,unskilled resident,838.04,good
no checking,existing paid,repairs,<100,<1,female div/sep/mar,skilled,446.89,bad
no checking,no credits/all paid,business,<100,4<=X<7,male single,skilled,779.5,good
no checking,existing paid,furniture/equipment,<100,>=7,male single,skilled,1608.34,good
0<=X<200,existing paid,furniture/equipment,unknown,4<=X<7,male single,skilled,1391.6,good
no checking,existing paid,new car,unknown,1<=X<4,male single,skilled,4597.48,bad
no checking,existing paid,new car,<100,<1,male mar/wid/div/sep,skilled,349.72,good
<0,existing paid,radio/tv,<100,4<=X<7,male single,skilled,804.76,good
<0,existing paid,radio/tv,<100,>=7,male single,unskilled resident,404.13,bad
<0,critical/other existing credit,new car,<100,1<=X<4,male mar/wid/div/sep,skilled,737.55,bad
no checking,critical/other existing credit,used car,unknown,4<=X<7,male single,skilled,1738.06,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,skilled,514.85,good
<0,no credits/all paid,new car,<100,4<=X<7,male single,unskilled resident,461.44,bad
no checking,delayed previously,new car,<100,>=7,male single,skilled,4893.75,good
no checking,existing paid,new car,100<=X<500,<1,male mar/wid/div/sep,skilled,486.42,good
no checking,existing paid,retraining,unknown,4<=X<7,female div/sep/mar,skilled,357.6,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,skilled,936.04,good
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,1148.11,bad
no checking,existing paid,new car,100<=X<500,1<=X<4,male single,skilled,930.02,good
no checking,critical/other existing credit,used car,>=1000,1<=X<4,male single,skilled,1567.08,good
no checking,delayed previously,business,<100,1<=X<4,male mar/wid/div/sep,skilled,607.32,bad
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,853.65,bad
no checking,critical/other existing credit,furniture/equipment,>=1000,<1,male single,unskilled resident,1448.32,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,552.5,bad
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,skilled,444.2,good
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,645.03,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,1399.02,good
no checking,existing paid,business,unknown,>=7,male single,skilled,2741.33,good
<0,existing paid,furniture/equipment,<100,>=7,female div/sep/mar,skilled,156.48,good
no checking,delayed previously,furniture/equipment,500<=X<1000,4<=X<7,female div/sep/mar,skilled,3071.2,good
>=200,critical/other existing credit,new car,<100,>=7,male single,skilled,617.78,good
<0,critical/other existing credit,business,100<=X<500,4<=X<7,male single,skilled,359.32,good
no checking,existing paid,furniture/equipment,unknown,<1,female div/sep/mar,skilled,209.76,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,1041.1,good
0<=X<200,critical/other existing credit,new car,>=1000,1<=X<4,female div/sep/mar,skilled,528.8,good
<0,no credits/all paid,radio/tv,<100,<1,male single,high qualif/self emp/mgmt,698.4,good
no checking,existing paid,radio/tv,<100,>=7,male single,skilled,1006.6,good
<0,existing paid,new car,<100,<1,male single,high qualif/self emp/mgmt,383.94,bad
no checking,critical/other existing credit,radio/tv,unknown,4<=X<7,male single,skilled,2427.12,good
no checking,existing paid,used car,<100,4<=X<7,male single,high qualif/self emp/mgmt,2969.32,good
no checking,existing paid,used car,unknown,1<=X<4,male mar/wid/div/sep,skilled,4452.96,good
0<=X<200,critical/other existing credit,new car,unknown,>=7,male single,skilled,785.16,good
no checking,critical/other existing credit,radio/tv,<100,unemployed,female div/sep/mar,unemp/unskilled non res,713.7,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male mar/wid/div/sep,skilled,1744.51,bad
<0,existing paid,education,<100,<1,female div/sep/mar,skilled,421.35,bad
0<=X<200,critical/other existing credit,business,unknown,4<=X<7,male single,skilled,960.5,good
0<=X<200,existing paid,business,<100,1<=X<4,male single,skilled,3604.56,bad
no checking,critical/other existing credit,new car,<100,>=7,male single,high qualif/self emp/mgmt,2248.76,good
no checking,no credits/all paid,used car,unknown,<1,male single,skilled,3129.6,good
<0,critical/other existing credit,business,<100,>=7,male single,high qualif/self emp/mgmt,1050.06,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,841.34,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,unskilled resident,824.98,good
0<=X<200,critical/other existing credit,used car,<100,1<=X<4,male single,skilled,1972,good
no checking,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,skilled,339.01,good
no checking,delayed previously,used car,unknown,4<=X<7,male single,high qualif/self emp/mgmt,2773.57,good
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,729.68,good
no checking,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,female div/sep/mar,skilled,557.2,good
no checking,existing paid,furniture/equipment,unknown,4<=X<7,female div/sep/mar,unskilled resident,721.38,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1744.26,bad
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,1128.75,bad
no checking,critical/other existing credit,new car,unknown,<1,male mar/wid/div/sep,skilled,1533.4,good
no checking,critical/other existing credit,used car,unknown,>=7,male single,skilled,4400.34,good
no checking,existing paid,radio/tv,unknown,1<=X<4,male mar/wid/div/sep,skilled,554.4,good
no checking,existing paid,radio/tv,<100,>=7,male single,high qualif/self emp/mgmt,460.08,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,high qualif/self emp/mgmt,221.4,good
<0,existing paid,new car,unknown,4<=X<7,male single,unskilled resident,903.12,good
0<=X<200,existing paid,education,unknown,1<=X<4,male mar/wid/div/sep,skilled,1001.97,good
no checking,delayed previously,used car,<100,<1,female div/sep/mar,unskilled resident,1653.24,good
0<=X<200,existing paid,new car,unknown,1<=X<4,female div/sep/mar,unskilled resident,1054.35,good
no checking,delayed previously,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1514.36,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,1184,bad
0<=X<200,existing paid,radio/tv,unknown,>=7,female div/sep/mar,skilled,747.75,good
no checking,existing paid,business,>=1000,>=7,male mar/wid/div/sep,skilled,599.76,good
<0,no credits/all paid,business,<100,1<=X<4,male single,skilled,979.91,bad
0<=X<200,no credits/all paid,other,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,5895.68,bad
no checking,existing paid,used car,100<=X<500,1<=X<4,male single,skilled,911.36,good
<0,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,10129.28,bad
<0,existing paid,furniture/equipment,100<=X<500,unemployed,male mar/wid/div/sep,skilled,778.47,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,high qualif/self emp/mgmt,1304.55,bad
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,508.76,good
no checking,delayed previously,radio/tv,500<=X<1000,4<=X<7,male single,high qualif/self emp/mgmt,4717.13,good
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,300.52,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male single,skilled,600.6,good
<0,no credits/all paid,furniture/equipment,<100,<1,male mar/wid/div/sep,skilled,3779.6,bad
<0,no credits/all paid,new car,<100,<1,male single,skilled,320.62,bad
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,220.29,good
<0,existing paid,used car,<100,4<=X<7,male single,skilled,4015.83,bad
no checking,existing paid,radio/tv,unknown,>=7,male single,skilled,1082.86,good
<0,delayed previously,new car,<100,1<=X<4,male single,unskilled resident,577.92,good
<0,existing paid,furniture/equipment,<100,<1,male single,unskilled resident,419.28,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,367.4,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,367.2,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,skilled,219.24,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,344.54,good
0<=X<200,delayed previously,radio/tv,100<=X<500,<1,male single,high qualif/self emp/mgmt,575.7,bad
>=200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,208.6,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,high qualif/self emp/mgmt,618.9,good
0<=X<200,existing paid,education,<100,1<=X<4,male single,skilled,2640.96,bad
no checking,critical/other existing credit,used car,unknown,1<=X<4,male single,high qualif/self emp/mgmt,3147.32,good
no checking,existing paid,new car,unknown,<1,male single,high qualif/self emp/mgmt,1587.15,good
no checking,existing paid,new car,<100,1<=X<4,male single,unskilled resident,479.26,good
no checking,existing paid,furniture/equipment,unknown,4<=X<7,male single,skilled,287.99,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,unskilled resident,611.1,good
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,848.7,good
0<=X<200,no credits/all paid,new car,500<=X<1000,<1,female div/sep/mar,skilled,2507.4,good
<0,no credits/all paid,furniture/equipment,500<=X<1000,<1,male single,skilled,1004.7,bad
