Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Age and Credit / 100,Class
<0,existing paid,new car,1372,<100,4<=X<7,male mar/wid/div/sep,36,skilled,493.92,bad
no checking,critical/other existing credit,radio/tv,2578,>=1000,>=7,male single,34,skilled,876.52,good
0<=X<200,existing paid,radio/tv,3979,unknown,4<=X<7,male single,41,skilled,1631.39,good
<0,existing paid,radio/tv,6758,<100,1<=X<4,female div/sep/mar,31,skilled,2094.98,bad
<0,existing paid,furniture/equipment,3234,<100,<1,female div/sep/mar,23,unskilled resident,743.82,bad
no checking,critical/other existing credit,radio/tv,5954,<100,4<=X<7,male single,38,skilled,2262.52,good
no checking,existing paid,used car,5433,unknown,unemployed,female div/sep/mar,26,high qualif/self emp/mgmt,1412.58,good
<0,existing paid,business,806,<100,1<=X<4,female div/sep/mar,22,unskilled resident,177.32,good
0<=X<200,existing paid,radio/tv,1082,<100,>=7,male single,27,unskilled resident,292.14,good
no checking,critical/other existing credit,furniture/equipment,2788,<100,4<=X<7,female div/sep/mar,24,skilled,669.12,good
0<=X<200,existing paid,radio/tv,2930,<100,4<=X<7,female div/sep/mar,27,skilled,791.1,good
no checking,critical/other existing credit,education,1927,unknown,1<=X<4,female div/sep/mar,33,skilled,635.91,good
0<=X<200,critical/other existing credit,new car,2820,<100,<1,male mar/wid/div/sep,27,skilled,761.4,bad
no checking,existing paid,retraining,937,<100,<1,male mar/wid/div/sep,27,unskilled resident,252.99,good
0<=X<200,critical/other existing credit,new car,1056,<100,>=7,male single,30,skilled,316.8,bad
0<=X<200,critical/other existing credit,new car,3124,<100,<1,male single,49,unskilled resident,1530.76,good
no checking,existing paid,furniture/equipment,1388,<100,1<=X<4,female div/sep/mar,26,skilled,360.88,good
0<=X<200,existing paid,repairs,2384,<100,<1,male single,33,unskilled resident,786.72,bad
no checking,existing paid,new car,2133,unknown,>=7,female div/sep/mar,52,high qualif/self emp/mgmt,1109.16,good
<0,existing paid,furniture/equipment,2039,<100,1<=X<4,female div/sep/mar,20,skilled,407.8,bad
<0,critical/other existing credit,new car,2799,<100,1<=X<4,male single,36,skilled,1007.64,good
<0,existing paid,furniture/equipment,1289,<100,1<=X<4,male single,21,unskilled resident,270.69,good
<0,existing paid,furniture/equipment,1217,<100,1<=X<4,male mar/wid/div/sep,47,unskilled resident,571.99,bad
<0,critical/other existing credit,furniture/equipment,2246,<100,>=7,male single,60,skilled,1347.6,bad
<0,critical/other existing credit,radio/tv,385,<100,4<=X<7,female div/sep/mar,58,unskilled resident,223.3,good
0<=X<200,delayed previously,new car,1965,unknown,1<=X<4,female div/sep/mar,42,skilled,825.3,good
no checking,existing paid,business,1572,>=1000,>=7,female div/sep/mar,36,unskilled resident,565.92,good
0<=X<200,existing paid,new car,2718,<100,1<=X<4,female div/sep/mar,20,unskilled resident,543.6,bad
<0,no credits/all paid,other,13580,unknown,>=7,male single,40,high qualif/self emp/mgmt,5432,bad
0<=X<200,no credits/all paid,new car,931,100<=X<500,<1,female div/sep/mar,32,unskilled resident,297.92,bad
<0,existing paid,new car,1442,<100,4<=X<7,female div/sep/mar,23,skilled,331.66,bad
0<=X<200,no credits/all paid,business,4241,<100,1<=X<4,male single,36,unskilled resident,1526.76,bad
no checking,critical/other existing credit,new car,2775,<100,4<=X<7,male single,31,skilled,860.25,bad
no checking,delayed previously,business,3863,<100,1<=X<4,male single,32,skilled,1236.16,good
0<=X<200,existing paid,radio/tv,2329,<100,<1,female div/sep/mar,45,skilled,1048.05,good
0<=X<200,existing paid,furniture/equipment,918,<100,1<=X<4,female div/sep/mar,30,skilled,275.4,bad
0<=X<200,no credits/all paid,education,1837,<100,4<=X<7,female div/sep/mar,34,unskilled resident,624.58,bad
no checking,existing paid,furniture/equipment,3349,<100,1<=X<4,female div/sep/mar,28,high qualif/self emp/mgmt,937.72,bad
>=200,existing paid,furniture/equipment,1275,<100,<1,female div/sep/mar,23,skilled,293.25,good
<0,no credits/all paid,furniture/equipment,2828,500<=X<1000,1<=X<4,male single,22,skilled,622.16,good
no checking,critical/other existing credit,business,4526,<100,1<=X<4,male single,74,high qualif/self emp/mgmt,3349.24,good
0<=X<200,existing paid,radio/tv,2671,100<=X<500,1<=X<4,female div/sep/mar,50,skilled,1335.5,bad
no checking,existing paid,radio/tv,2051,<100,<1,male single,33,skilled,676.83,good
no checking,existing paid,used car,1300,unknown,>=7,male single,45,skilled,585,good
<0,existing paid,furniture/equipment,741,100<=X<500,unemployed,female div/sep/mar,22,skilled,163.02,bad
>=200,existing paid,new car,1240,100<=X<500,>=7,female div/sep/mar,48,unskilled resident,595.2,bad
<0,existing paid,radio/tv,3357,>=1000,<1,female div/sep/mar,29,skilled,973.53,good
<0,no credits/all paid,used car,3632,<100,1<=X<4,female div/sep/mar,22,skilled,799.04,good
no checking,delayed previously,furniture/equipment,1808,<100,4<=X<7,female div/sep/mar,22,skilled,397.76,bad
0<=X<200,no credits/all paid,business,12204,unknown,1<=X<4,male single,48,high qualif/self emp/mgmt,5857.92,good
0<=X<200,delayed previously,radio/tv,9157,unknown,1<=X<4,male single,27,high qualif/self emp/mgmt,2472.39,good
<0,critical/other existing credit,new car,3676,<100,1<=X<4,male single,37,skilled,1360.12,good
0<=X<200,existing paid,furniture/equipment,3441,100<=X<500,1<=X<4,female div/sep/mar,21,skilled,722.61,bad
no checking,existing paid,new car,640,<100,1<=X<4,male mar/wid/div/sep,49,unskilled resident,313.6,good
0<=X<200,critical/other existing credit,business,3652,<100,4<=X<7,male single,27,skilled,986.04,good
no checking,critical/other existing credit,new car,1530,<100,1<=X<4,male single,32,skilled,489.6,bad
no checking,existing paid,business,3914,unknown,1<=X<4,male mar/wid/div/sep,38,skilled,1487.32,bad
<0,existing paid,furniture/equipment,1858,<100,<1,female div/sep/mar,22,skilled,408.76,good
<0,existing paid,radio/tv,2600,<100,1<=X<4,male single,65,skilled,1690,bad
no checking,existing paid,radio/tv,1979,unknown,>=7,male single,35,skilled,692.65,good
>=200,existing paid,furniture/equipment,2116,<100,1<=X<4,male single,41,skilled,867.56,good
0<=X<200,no credits/all paid,new car,1437,100<=X<500,4<=X<7,male single,29,skilled,416.73,bad
no checking,critical/other existing credit,furniture/equipment,4042,500<=X<1000,1<=X<4,male single,36,skilled,1455.12,good
no checking,existing paid,education,3832,unknown,>=7,male single,64,unskilled resident,2452.48,good
<0,existing paid,radio/tv,3660,<100,1<=X<4,female div/sep/mar,28,skilled,1024.8,good
<0,no credits/all paid,furniture/equipment,1553,<100,1<=X<4,male single,44,skilled,683.32,bad
0<=X<200,existing paid,radio/tv,1444,unknown,<1,male single,23,skilled,332.12,good
no checking,existing paid,furniture/equipment,1980,<100,<1,female div/sep/mar,19,skilled,376.2,bad
0<=X<200,existing paid,new car,1355,<100,<1,female div/sep/mar,25,unskilled resident,338.75,bad
no checking,existing paid,education,1393,<100,>=7,male single,47,skilled,654.71,good
no checking,existing paid,radio/tv,1376,500<=X<1000,4<=X<7,female div/sep/mar,28,skilled,385.28,good
no checking,delayed previously,radio/tv,15653,<100,4<=X<7,male single,21,skilled,3287.13,good
no checking,existing paid,radio/tv,1493,<100,<1,female div/sep/mar,34,skilled,507.62,good
<0,delayed previously,radio/tv,4370,<100,4<=X<7,male single,26,skilled,1136.2,bad
<0,existing paid,education,750,<100,unemployed,female div/sep/mar,27,unemp/unskilled non res,202.5,bad
0<=X<200,existing paid,repairs,1308,<100,>=7,male single,38,unskilled resident,497.04,good
no checking,existing paid,education,4623,100<=X<500,1<=X<4,male single,40,high qualif/self emp/mgmt,1849.2,bad
no checking,critical/other existing credit,radio/tv,1851,<100,4<=X<7,male mar/wid/div/sep,33,skilled,610.83,good
<0,critical/other existing credit,radio/tv,1880,<100,4<=X<7,male mar/wid/div/sep,32,high qualif/self emp/mgmt,601.6,good
no checking,delayed previously,business,7980,unknown,<1,male single,27,skilled,2154.6,bad
<0,no credits/all paid,furniture/equipment,4583,<100,1<=X<4,male mar/wid/div/sep,32,skilled,1466.56,good
no checking,existing paid,new car,13860,500<=X<1000,1<=X<4,female div/sep/mar,26,skilled,3603.6,bad
>=200,existing paid,new car,947,<100,4<=X<7,male single,38,skilled,359.86,bad
<0,existing paid,education,684,<100,1<=X<4,male single,40,unskilled resident,273.6,bad
<0,existing paid,education,7476,<100,4<=X<7,male single,50,high qualif/self emp/mgmt,3738,good
0<=X<200,existing paid,furniture/equipment,1922,<100,1<=X<4,male single,37,unskilled resident,711.14,bad
<0,existing paid,new car,2303,<100,>=7,male single,45,skilled,1036.35,bad
0<=X<200,delayed previously,new car,8086,100<=X<500,>=7,male single,42,high qualif/self emp/mgmt,3396.12,bad
no checking,critical/other existing credit,used car,2346,<100,4<=X<7,male single,35,skilled,821.1,good
<0,existing paid,new car,3973,<100,unemployed,male single,22,skilled,874.06,good
0<=X<200,existing paid,new car,888,<100,>=7,male single,41,unskilled resident,364.08,bad
no checking,existing paid,radio/tv,10222,unknown,4<=X<7,male single,37,skilled,3782.14,good
0<=X<200,no credits/all paid,business,4221,<100,1<=X<4,female div/sep/mar,28,skilled,1181.88,good
0<=X<200,critical/other existing credit,furniture/equipment,6361,<100,>=7,male single,41,skilled,2608.01,good
>=200,existing paid,radio/tv,1297,<100,1<=X<4,male mar/wid/div/sep,23,skilled,298.31,good
<0,existing paid,new car,900,unknown,1<=X<4,male mar/wid/div/sep,23,skilled,207,bad
no checking,existing paid,furniture/equipment,2241,<100,>=7,male single,50,skilled,1120.5,good
0<=X<200,delayed previously,furniture/equipment,1050,<100,unemployed,male single,35,high qualif/self emp/mgmt,367.5,good
>=200,critical/other existing credit,education,1047,<100,1<=X<4,female div/sep/mar,50,unskilled resident,523.5,good
no checking,critical/other existing credit,other,6314,<100,unemployed,male single,27,high qualif/self emp/mgmt,1704.78,good
0<=X<200,no credits/all paid,furniture/equipment,3496,>=1000,1<=X<4,male single,34,skilled,1188.64,good
no checking,no credits/all paid,business,3609,<100,1<=X<4,female div/sep/mar,27,skilled,974.43,good
<0,critical/other existing credit,new car,4843,<100,>=7,male single,43,skilled,2082.49,bad
>=200,critical/other existing credit,radio/tv,3017,<100,>=7,male single,47,skilled,1417.99,good
no checking,critical/other existing credit,business,4139,100<=X<500,1<=X<4,male single,27,unskilled resident,1117.53,good
no checking,existing paid,business,5742,100<=X<500,4<=X<7,male single,31,skilled,1780.02,good
no checking,existing paid,new car,10366,<100,>=7,male single,42,high qualif/self emp/mgmt,4353.72,good
no checking,critical/other existing credit,new car,2080,500<=X<1000,1<=X<4,male mar/wid/div/sep,24,skilled,499.2,good
no checking,delayed previously,business,2580,500<=X<1000,<1,male single,41,unskilled resident,1057.8,bad
no checking,critical/other existing credit,radio/tv,4530,<100,4<=X<7,female div/sep/mar,26,high qualif/self emp/mgmt,1177.8,good
no checking,critical/other existing credit,furniture/equipment,5150,<100,>=7,male single,33,skilled,1699.5,good
0<=X<200,existing paid,radio/tv,5595,100<=X<500,1<=X<4,male mar/wid/div/sep,24,skilled,1342.8,bad
<0,existing paid,radio/tv,2384,<100,>=7,male single,64,unskilled resident,1525.76,good
no checking,existing paid,radio/tv,1453,<100,<1,female div/sep/mar,26,skilled,377.78,good
no checking,existing paid,education,1538,<100,<1,female div/sep/mar,56,skilled,861.28,good
no checking,existing paid,radio/tv,2279,unknown,1<=X<4,male single,37,skilled,843.23,good
no checking,delayed previously,radio/tv,1478,<100,1<=X<4,male mar/wid/div/sep,33,skilled,487.74,good
no checking,critical/other existing credit,radio/tv,5103,<100,<1,male mar/wid/div/sep,47,skilled,2398.41,good
0<=X<200,delayed previously,business,9857,100<=X<500,4<=X<7,male single,31,unskilled resident,3055.67,good
no checking,existing paid,new car,6527,unknown,1<=X<4,male single,34,skilled,2219.18,good
>=200,critical/other existing credit,radio/tv,1347,unknown,4<=X<7,male single,27,skilled,363.69,good
0<=X<200,delayed previously,new car,2862,100<=X<500,>=7,male single,30,skilled,858.6,good
no checking,existing paid,radio/tv,2753,100<=X<500,>=7,male single,35,skilled,963.55,good
<0,existing paid,new car,3651,>=1000,1<=X<4,male single,31,skilled,1131.81,good
<0,critical/other existing credit,furniture/equipment,975,<100,1<=X<4,male mar/wid/div/sep,25,skilled,243.75,good
0<=X<200,existing paid,repairs,2631,100<=X<500,1<=X<4,female div/sep/mar,25,unskilled resident,657.75,good
0<=X<200,existing paid,radio/tv,2896,100<=X<500,<1,male single,29,skilled,839.84,good
<0,critical/other existing credit,new car,4716,unknown,<1,male single,44,unskilled resident,2075.04,good
no checking,existing paid,radio/tv,2284,<100,4<=X<7,male single,28,skilled,639.52,good
no checking,existing paid,used car,1236,500<=X<1000,1<=X<4,male single,50,skilled,618,good
0<=X<200,existing paid,radio/tv,1103,<100,4<=X<7,male single,29,skilled,319.87,good
no checking,critical/other existing credit,new car,926,<100,unemployed,female div/sep/mar,38,unemp/unskilled non res,351.88,good
no checking,critical/other existing credit,radio/tv,1800,<100,1<=X<4,male single,24,skilled,432,good
>=200,existing paid,education,1905,<100,>=7,male single,40,high qualif/self emp/mgmt,762,good
no checking,existing paid,furniture/equipment,1123,500<=X<1000,1<=X<4,female div/sep/mar,29,unskilled resident,325.67,bad
<0,critical/other existing credit,used car,6331,<100,>=7,male single,46,skilled,2912.26,bad
>=200,existing paid,radio/tv,1377,100<=X<500,>=7,female div/sep/mar,47,skilled,647.19,good
0<=X<200,delayed previously,business,2503,100<=X<500,>=7,male single,41,skilled,1026.23,good
0<=X<200,existing paid,business,2528,<100,<1,female div/sep/mar,32,skilled,808.96,good
no checking,existing paid,new car,5324,500<=X<1000,>=7,female div/sep/mar,35,skilled,1863.4,good
0<=X<200,existing paid,new car,6560,100<=X<500,4<=X<7,male single,24,skilled,1574.4,bad
0<=X<200,no credits/all paid,furniture/equipment,2969,<100,<1,female div/sep/mar,25,skilled,742.25,bad
0<=X<200,existing paid,radio/tv,1206,<100,>=7,female div/sep/mar,25,skilled,301.5,good
0<=X<200,existing paid,radio/tv,2118,<100,1<=X<4,male single,37,unskilled resident,783.66,good
no checking,critical/other existing credit,radio/tv,629,500<=X<1000,>=7,male single,32,high qualif/self emp/mgmt,201.28,good
<0,no credits/all paid,education,1198,<100,>=7,female div/sep/mar,35,skilled,419.3,bad
no checking,existing paid,used car,2476,unknown,>=7,male single,46,high qualif/self emp/mgmt,1138.96,good
<0,critical/other existing credit,radio/tv,1138,<100,1<=X<4,male single,25,unskilled resident,284.5,good
0<=X<200,existing paid,new car,14027,<100,4<=X<7,male single,27,high qualif/self emp/mgmt,3787.29,bad
no checking,critical/other existing credit,used car,7596,unknown,>=7,male single,63,skilled,4785.48,good
no checking,critical/other existing credit,radio/tv,3077,unknown,>=7,male single,40,skilled,1230.8,good
no checking,existing paid,radio/tv,1505,<100,1<=X<4,male single,32,high qualif/self emp/mgmt,481.6,good
>=200,critical/other existing credit,radio/tv,3148,unknown,1<=X<4,male single,31,skilled,975.88,good
0<=X<200,no credits/all paid,used car,6148,100<=X<500,>=7,male mar/wid/div/sep,31,skilled,1905.88,good
>=200,no credits/all paid,radio/tv,1337,<100,<1,male single,34,high qualif/self emp/mgmt,454.58,bad
0<=X<200,no credits/all paid,education,433,>=1000,<1,female div/sep/mar,24,skilled,103.92,bad
<0,existing paid,new car,1228,<100,1<=X<4,female div/sep/mar,24,unskilled resident,294.72,bad
0<=X<200,existing paid,radio/tv,790,500<=X<1000,1<=X<4,female div/sep/mar,66,unskilled resident,521.4,good
no checking,existing paid,new car,2570,<100,1<=X<4,female div/sep/mar,21,skilled,539.7,bad
no checking,critical/other existing credit,new car,250,>=1000,1<=X<4,female div/sep/mar,41,unskilled resident,102.5,good
no checking,critical/other existing credit,radio/tv,1316,500<=X<1000,1<=X<4,male mar/wid/div/sep,47,unskilled resident,618.52,good
<0,existing paid,radio/tv,1882,<100,1<=X<4,female div/sep/mar,25,skilled,470.5,bad
0<=X<200,no credits/all paid,business,6416,<100,>=7,female div/sep/mar,59,skilled,3785.44,bad
>=200,critical/other existing credit,business,1275,>=1000,1<=X<4,male mar/wid/div/sep,36,skilled,459,good
0<=X<200,delayed previously,radio/tv,6403,<100,<1,male single,33,skilled,2112.99,good
<0,existing paid,radio/tv,1987,<100,1<=X<4,male single,21,unskilled resident,417.27,bad
0<=X<200,existing paid,radio/tv,760,<100,4<=X<7,female div/sep/mar,44,unskilled resident,334.4,good
no checking,existing paid,used car,2603,>=1000,1<=X<4,female div/sep/mar,28,skilled,728.84,good
no checking,critical/other existing credit,new car,3380,<100,4<=X<7,female div/sep/mar,37,skilled,1250.6,good
0<=X<200,no credits/all paid,furniture/equipment,3990,unknown,<1,female div/sep/mar,29,unemp/unskilled non res,1157.1,good
0<=X<200,existing paid,used car,11560,<100,1<=X<4,female div/sep/mar,23,high qualif/self emp/mgmt,2658.8,bad
<0,existing paid,new car,4380,100<=X<500,1<=X<4,male single,35,unskilled resident,1533,good
no checking,critical/other existing credit,new car,6761,<100,4<=X<7,male single,45,high qualif/self emp/mgmt,3042.45,good
0<=X<200,no credits/all paid,business,4280,100<=X<500,1<=X<4,female div/sep/mar,26,unskilled resident,1112.8,bad
<0,no credits/all paid,new car,2325,100<=X<500,4<=X<7,male single,32,skilled,744,good
0<=X<200,no credits/all paid,radio/tv,1048,<100,1<=X<4,male single,23,unskilled resident,241.04,good
no checking,existing paid,radio/tv,3160,unknown,>=7,male single,41,skilled,1295.6,good
<0,no credits/all paid,furniture/equipment,2483,500<=X<1000,1<=X<4,male single,22,skilled,546.26,good
<0,critical/other existing credit,furniture/equipment,14179,unknown,4<=X<7,male single,30,high qualif/self emp/mgmt,4253.7,good
<0,critical/other existing credit,business,1797,<100,<1,male single,28,unskilled resident,503.16,good
<0,existing paid,new car,2511,<100,unemployed,female div/sep/mar,23,skilled,577.53,good
<0,existing paid,new car,1274,<100,<1,female div/sep/mar,37,unskilled resident,471.38,bad
no checking,existing paid,used car,5248,unknown,1<=X<4,male single,26,skilled,1364.48,good
no checking,existing paid,used car,3029,<100,4<=X<7,male single,33,skilled,999.57,good
<0,existing paid,furniture/equipment,428,<100,>=7,female div/sep/mar,49,skilled,209.72,good
<0,existing paid,new car,976,<100,<1,female div/sep/mar,23,unskilled resident,224.48,bad
0<=X<200,existing paid,business,841,100<=X<500,4<=X<7,female div/sep/mar,23,unskilled resident,193.43,good
no checking,critical/other existing credit,radio/tv,5771,<100,4<=X<7,female div/sep/mar,25,skilled,1442.75,good
no checking,delayed previously,repairs,1555,>=1000,>=7,male single,55,skilled,855.25,bad
<0,existing paid,new car,1285,unknown,4<=X<7,female div/sep/mar,32,skilled,411.2,bad
>=200,critical/other existing credit,new car,1299,<100,1<=X<4,male single,74,unemp/unskilled non res,961.26,good
>=200,critical/other existing credit,radio/tv,1271,unknown,1<=X<4,male single,39,skilled,495.69,bad
no checking,existing paid,new car,1393,<100,1<=X<4,male single,31,skilled,431.83,good
<0,critical/other existing credit,new car,691,<100,>=7,male single,35,skilled,241.85,bad
no checking,critical/other existing credit,new car,5045,unknown,>=7,female div/sep/mar,59,skilled,2976.55,good
<0,critical/other existing credit,furniture/equipment,2124,<100,1<=X<4,female div/sep/mar,24,skilled,509.76,bad
<0,existing paid,radio/tv,2214,<100,1<=X<4,male single,24,unskilled resident,531.36,good
no checking,critical/other existing credit,new car,12680,unknown,>=7,male single,30,high qualif/self emp/mgmt,3804,bad
no checking,critical/other existing credit,new car,2463,100<=X<500,4<=X<7,male mar/wid/div/sep,27,skilled,665.01,good
0<=X<200,existing paid,radio/tv,1155,<100,>=7,male mar/wid/div/sep,40,unskilled resident,462,good
<0,existing paid,furniture/equipment,3108,<100,<1,male mar/wid/div/sep,31,unskilled resident,963.48,bad
no checking,existing paid,used car,2901,unknown,<1,female div/sep/mar,31,skilled,899.31,good
0<=X<200,critical/other existing credit,furniture/equipment,3617,<100,>=7,male single,28,skilled,1012.76,good
no checking,critical/other existing credit,radio/tv,1655,<100,>=7,male single,63,unskilled resident,1042.65,good
<0,existing paid,used car,2812,unknown,>=7,female div/sep/mar,26,skilled,731.12,good
<0,critical/other existing credit,education,8065,<100,1<=X<4,female div/sep/mar,25,high qualif/self emp/mgmt,2016.25,bad
no checking,critical/other existing credit,used car,3275,<100,>=7,male single,36,high qualif/self emp/mgmt,1179,good
no checking,critical/other existing credit,radio/tv,2223,100<=X<500,>=7,male single,52,skilled,1155.96,good
>=200,critical/other existing credit,new car,1480,500<=X<1000,unemployed,male single,66,unemp/unskilled non res,976.8,good
<0,existing paid,new car,1371,unknown,1<=X<4,female div/sep/mar,25,skilled,342.75,bad
no checking,critical/other existing credit,new car,3535,<100,4<=X<7,male single,37,skilled,1307.95,good
<0,existing paid,radio/tv,3509,<100,4<=X<7,female div/sep/mar,25,skilled,877.25,good
no checking,critical/other existing credit,used car,5711,>=1000,>=7,male single,38,high qualif/self emp/mgmt,2170.18,good
0<=X<200,existing paid,repairs,3872,<100,unemployed,female div/sep/mar,67,skilled,2594.24,good
0<=X<200,critical/other existing credit,radio/tv,4933,<100,4<=X<7,male single,25,skilled,1233.25,bad
no checking,critical/other existing credit,new car,1940,>=1000,>=7,male single,60,skilled,1164,good
0<=X<200,no credits/all paid,retraining,1410,<100,1<=X<4,male single,31,unskilled resident,437.1,good
0<=X<200,existing paid,new car,836,100<=X<500,<1,female div/sep/mar,23,unskilled resident,192.28,bad
0<=X<200,existing paid,used car,6468,unknown,unemployed,male mar/wid/div/sep,60,high qualif/self emp/mgmt,3880.8,good
0<=X<200,existing paid,business,1941,>=1000,1<=X<4,male single,35,unskilled resident,679.35,good
no checking,existing paid,radio/tv,2675,500<=X<1000,>=7,male single,40,skilled,1070,good
no checking,critical/other existing credit,used car,2751,unknown,>=7,male single,38,skilled,1045.38,good
0<=X<200,delayed previously,education,6224,<100,>=7,male single,50,skilled,3112,bad
<0,critical/other existing credit,education,5998,<100,1<=X<4,male single,27,skilled,1619.46,bad
0<=X<200,existing paid,business,1188,<100,>=7,female div/sep/mar,39,skilled,463.32,bad
no checking,existing paid,used car,6313,unknown,>=7,male single,41,high qualif/self emp/mgmt,2588.33,good
no checking,critical/other existing credit,furniture/equipment,1221,unknown,1<=X<4,male mar/wid/div/sep,27,skilled,329.67,good
>=200,existing paid,furniture/equipment,2892,<100,>=7,male mar/wid/div/sep,51,skilled,1474.92,good
no checking,existing paid,furniture/equipment,3062,500<=X<1000,>=7,male single,32,skilled,979.84,good
no checking,existing paid,furniture/equipment,2301,100<=X<500,<1,female div/sep/mar,22,skilled,506.22,good
<0,existing paid,used car,7511,unknown,>=7,male single,51,skilled,3830.61,bad
no checking,critical/other existing credit,furniture/equipment,1258,<100,<1,female div/sep/mar,22,unskilled resident,276.76,good
no checking,delayed previously,new car,717,unknown,>=7,male mar/wid/div/sep,54,skilled,387.18,good
0<=X<200,existing paid,new car,1549,unknown,<1,male single,35,unemp/unskilled non res,542.15,good
no checking,critical/other existing credit,education,1597,<100,>=7,male single,54,skilled,862.38,good
0<=X<200,critical/other existing credit,radio/tv,1795,<100,>=7,female div/sep/mar,48,unskilled resident,861.6,good
<0,critical/other existing credit,furniture/equipment,4272,<100,>=7,female div/sep/mar,24,skilled,1025.28,good
no checking,critical/other existing credit,radio/tv,976,unknown,>=7,male single,35,skilled,341.6,good
0<=X<200,existing paid,new car,7472,unknown,unemployed,female div/sep/mar,24,unemp/unskilled non res,1793.28,good
<0,existing paid,new car,9271,<100,4<=X<7,male single,24,skilled,2225.04,bad
0<=X<200,existing paid,radio/tv,590,<100,<1,male mar/wid/div/sep,26,unskilled resident,153.4,good
no checking,critical/other existing credit,radio/tv,930,unknown,>=7,male single,65,skilled,604.5,good
0<=X<200,no credits/all paid,used car,9283,<100,unemployed,male single,55,high qualif/self emp/mgmt,5105.65,good
0<=X<200,no credits/all paid,new car,1778,<100,<1,female div/sep/mar,26,unemp/unskilled non res,462.28,bad
0<=X<200,existing paid,business,907,<100,<1,male mar/wid/div/sep,26,skilled,235.82,good
0<=X<200,existing paid,radio/tv,484,<100,4<=X<7,male mar/wid/div/sep,28,unskilled resident,135.52,good
<0,critical/other existing credit,used car,9629,<100,4<=X<7,male single,24,skilled,2310.96,bad
<0,existing paid,furniture/equipment,3051,<100,1<=X<4,male single,54,skilled,1647.54,bad
<0,existing paid,new car,3931,<100,4<=X<7,male single,46,skilled,1808.26,bad
0<=X<200,delayed previously,new car,7432,<100,1<=X<4,female div/sep/mar,54,skilled,4013.28,good
no checking,existing paid,furniture/equipment,1338,500<=X<1000,1<=X<4,male mar/wid/div/sep,62,skilled,829.56,good
no checking,critical/other existing credit,radio/tv,1554,<100,4<=X<7,female div/sep/mar,24,skilled,372.96,good
<0,existing paid,other,15857,<100,unemployed,male mar/wid/div/sep,43,high qualif/self emp/mgmt,6818.51,good
<0,existing paid,radio/tv,1345,<100,1<=X<4,male mar/wid/div/sep,26,skilled,349.7,bad
no checking,existing paid,new car,1101,<100,1<=X<4,male mar/wid/div/sep,27,skilled,297.27,good
>=200,existing paid,radio/tv,3016,<100,1<=X<4,male mar/wid/div/sep,24,skilled,723.84,good
<0,existing paid,furniture/equipment,2712,<100,>=7,male single,41,skilled,1111.92,bad
<0,critical/other existing credit,new car,731,<100,>=7,male single,47,unskilled resident,343.57,good
no checking,critical/other existing credit,furniture/equipment,3780,<100,<1,male mar/wid/div/sep,35,high qualif/self emp/mgmt,1323,good
<0,critical/other existing credit,new car,1602,<100,>=7,male mar/wid/div/sep,30,skilled,480.6,good
<0,critical/other existing credit,new car,3966,<100,>=7,female div/sep/mar,33,skilled,1308.78,bad
no checking,no credits/all paid,business,4165,<100,1<=X<4,male single,36,skilled,1499.4,bad
<0,existing paid,used car,8335,unknown,>=7,male single,47,skilled,3917.45,bad
0<=X<200,delayed previously,business,6681,unknown,1<=X<4,male single,38,skilled,2538.78,good
no checking,delayed previously,business,2375,500<=X<1000,1<=X<4,male single,44,skilled,1045,good
<0,existing paid,new car,1216,<100,<1,female div/sep/mar,23,skilled,279.68,bad
<0,no credits/all paid,business,11816,<100,>=7,male single,29,skilled,3426.64,bad
0<=X<200,existing paid,radio/tv,5084,unknown,>=7,female div/sep/mar,42,skilled,2135.28,good
>=200,existing paid,radio/tv,2327,<100,<1,female div/sep/mar,25,unskilled resident,581.75,bad
<0,no credits/all paid,new car,1082,<100,1<=X<4,male single,48,skilled,519.36,bad
no checking,existing paid,radio/tv,886,unknown,1<=X<4,female div/sep/mar,21,skilled,186.06,good
no checking,existing paid,furniture/equipment,601,<100,<1,female div/sep/mar,23,unskilled resident,138.23,good
<0,critical/other existing credit,used car,2957,<100,>=7,male single,63,skilled,1862.91,good
no checking,critical/other existing credit,radio/tv,2611,<100,>=7,male mar/wid/div/sep,46,skilled,1201.06,good
<0,existing paid,furniture/equipment,5179,<100,4<=X<7,male single,29,skilled,1501.91,bad
no checking,delayed previously,used car,2993,<100,1<=X<4,male single,28,unskilled resident,838.04,good
no checking,existing paid,repairs,1943,<100,<1,female div/sep/mar,23,skilled,446.89,bad
no checking,no credits/all paid,business,1559,<100,4<=X<7,male single,50,skilled,779.5,good
no checking,existing paid,furniture/equipment,3422,<100,>=7,male single,47,skilled,1608.34,good
0<=X<200,existing paid,furniture/equipment,3976,unknown,4<=X<7,male single,35,skilled,1391.6,good
no checking,existing paid,new car,6761,unknown,1<=X<4,male single,68,skilled,4597.48,bad
no checking,existing paid,new car,1249,<100,<1,male mar/wid/div/sep,28,skilled,349.72,good
<0,existing paid,radio/tv,1364,<100,4<=X<7,male single,59,skilled,804.76,good
<0,existing paid,radio/tv,709,<100,>=7,male single,57,unskilled resident,404.13,bad
<0,critical/other existing credit,new car,2235,<100,1<=X<4,male mar/wid/div/sep,33,skilled,737.55,bad
